"","name","pvalue","estimate","expression","BH"
"15358","GO_NUCLEAR_OUTER_MEMBRANE",0.654545721730986,1.40640662901421,"Down",1
"15359","GO_NUCLEAR_ENVELOPE_LUMEN",1,0,"UP",1
"15360","GO_NUCLEAR_ENVELOPE_LUMEN",1,0,"Down",1
"15361","GO_ANNULATE_LAMELLAE",0.330987031587496,2.98858893901806,"UP",0.878781905502177
"15362","GO_ANNULATE_LAMELLAE",1,0,"Down",1
"15363","GO_NUCLEAR_PORE",0.182481075954056,0.238213125958996,"UP",0.676292830683901
"15364","GO_NUCLEAR_PORE",0.182481075954056,0.238213125958996,"Down",0.676292830683901
"15365","GO_NUCLEAR_LAMINA",1,0,"UP",1
"15366","GO_NUCLEAR_LAMINA",1,0,"Down",1
"15367","GO_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX",1,0,"UP",1
"15368","GO_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX",1,0,"Down",1
"15369","GO_REPLICATION_FORK",0.264203705858791,0.259013882530474,"UP",0.808687405452853
"15370","GO_REPLICATION_FORK",0.581664469084602,0.530128436608813,"Down",1
"15371","GO_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",1,0,"UP",1
"15372","GO_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",1,0,"Down",1
"15373","GO_DNA_REPLICATION_FACTOR_A_COMPLEX",1,0,"UP",1
"15374","GO_DNA_REPLICATION_FACTOR_A_COMPLEX",1,0,"Down",1
"15375","GO_DNA_REPLICATION_FACTOR_C_COMPLEX",1,0,"UP",1
"15376","GO_DNA_REPLICATION_FACTOR_C_COMPLEX",1,0,"Down",1
"15377","GO_RNA_POLYMERASE_II_CORE_COMPLEX",1,0,"UP",1
"15378","GO_RNA_POLYMERASE_II_CORE_COMPLEX",1,0,"Down",1
"15379","GO_RNA_POLYMERASE_III_COMPLEX",1,0,"UP",1
"15380","GO_RNA_POLYMERASE_III_COMPLEX",0.474392504381021,1.70746965231238,"Down",1
"15381","GO_TRANSCRIPTION_REGULATOR_COMPLEX",1,0.961990784047005,"UP",1
"15382","GO_TRANSCRIPTION_REGULATOR_COMPLEX",0.451813042375589,0.778536070923769,"Down",1
"15383","GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX",0.616989274755516,0,"UP",1
"15384","GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX",0.616989274755516,0,"Down",1
"15385","GO_ADA2_GCN5_ADA3_TRANSCRIPTION_ACTIVATOR_COMPLEX",1,0,"UP",1
"15386","GO_ADA2_GCN5_ADA3_TRANSCRIPTION_ACTIVATOR_COMPLEX",1,0,"Down",1
